"Mean_Total_Population","Mean_poverty","state"
478270.933333333,464642.666666667,"AZ"
284014.8,279629.5,"HI"
37182.9333333333,36175.2583333333,"KY"
72884.625,70810.40625,"LA"
14347.0566037736,14014.4811320755,"ND"
116009.611111111,114237.180555556,"OR"
71287.0315789474,69980.9473684211,"TN"
112737.960629921,110775.019685039,"TX"
44595.7142857143,43465.6785714286,"VT"
192627.307692308,190399.871794872,"WA"
32862.2909090909,31878.5454545455,"WV"
80652.4305555556,79072.3888888889,"WI"
